Metamorphic Relation (MR), Source Input, Initial Output, Transformation of the input, New Output Check
"MR39: Checksum Verification", "GET /items with checksum", "Items with checksum value", "Recompute checksum locally on items", "Local checksum should match provided checksum"
"MR40: Expired Resource", "POST new resource, let it expire, GET resource", "Expired resource notification", "GET the resource immediately after POST", "The latter should fetch the resource before expiration"
"MR41: Bulk Operations", "Bulk POST 5 items to /items", "Confirmation for 5 items", "GET /items", "All 5 items should now be present"
"MR42: Stateless Verification", "Perform operations in session A, GET /items", "Items from session A", "Perform same operations in session B, GET /items", "Responses from both sessions should be identical, assuming statelessness"
"MR43: Data Type Consistency", "POST /items with integer as string", "Item created with integer", "POST /items with integer", "Both items should be consistent, data type differences handled gracefully"
"MR44: Backend Fallback", "GET /items from primary backend", "Items from primary", "GET /items forcing secondary backend", "Responses should be consistent, possibly slight timing differences"
"MR45: Distributed Systems Sync", "POST /item in region A", "Item confirmed in region A", "GET /item in region B after sync delay", "Item should be present in both regions post sync"
"MR46: Parallel Requests", "Send parallel GET requests to /items", "Items fetched in parallel", "GET /items sequentially", "Responses should be identical"
"MR47: Length Limitations", "POST very long data to /items", "Error or truncated data response", "POST short data to /items", "Responses should differ based on length processing"
"MR48: Dependent Operations", "DELETE /parentItem which has /childItems", "Confirmation of deletion", "GET /childItems", "Depending on system, might error if parent is a necessary context"
"MR49: Backwards Compatibility", "GET /items using old API client", "Items in old format", "GET /items using new API client", "Data should be consistent, possibly different format or additional details"
"MR50: Concurrency Handling", "Two clients POST conflicting data simultaneously to /items/123", "Race condition, one wins", "GET /items/123", "Should reflect one of the POSTs, not a mix"
