"Metamorphic Relation (MR)","Source Input","Initial Output","Transformation of the input","Output Check"
"MR39: Largest Side Swap","(5,10,8)","Scalene","Swap largest side: (10,5,8)","Output should remain 'Scalene'"
"MR40: Replace with Average","(4,5,6)","Scalene","Replace all sides with their average: (5,5,5)","Output should change to 'Equilateral'"
"MR41: Duplicate Shortest Side","(5,7,8)","Scalene","Duplicate shortest side: (5,5,8)","Output should change to 'Isosceles'"
"MR42: Subtract Small Value from Right Angle","(3,4,5)","Right-angled","Subtract small value from one side: (3,4,4.9)","Output should change to 'Scalene'"
"MR43: Add to Two Sides","(3,4,5)","Right-angled","Add value to two sides: (4,5,5)","Output should change to 'Isosceles'"
"MR44: Halve Right Triangle","(6,8,10)","Right-angled","Halve all sides: (3,4,5)","Output should remain 'Right-angled'"
"MR45: Random Values","Random Triangle","Variable Output","Apply a known transformation","Output should change based on transformation"
"MR46: Equilateral Increase by 1","(5,5,5)","Equilateral","Increase all sides by 1: (6,6,6)","Output should remain 'Equilateral'"
"MR47: Scalene to Not a Triangle","(4,6,11)","Not a triangle","Reduce one side: (4,6,9)","Output should change to 'Scalene'"
"MR48: Negative to Positive Values","(-3,-4,-5)","Not a triangle or Error","Convert to positive: (3,4,5)","Output should change to 'Right-angled'"
"MR49: Add Same Value to All Sides","(4,5,6)","Scalene","Add 1 to all sides: (5,6,7)","Output should remain 'Scalene'"
"MR50: Double Equilateral Triangle","(5,5,5)","Equilateral","Double all sides: (10,10,10)","Output should remain 'Equilateral'"
