"Metamorphic Relation (MR)","Source Input","Initial Output","Transformation of the input","New Output Check"
"MR33: Case sensitivity","SELECT * FROM tableA WHERE col1 = 'VALUE'","Rows where col1 matches 'VALUE' exactly","SELECT * FROM tableA WHERE UPPER(col1) = 'VALUE'","Results might differ based on case-sensitivity settings of the DB."
"MR34: Date extraction","SELECT YEAR(dateCol) FROM tableA","Year values extracted from dateCol","Manually extract year from dateCol values and then select","Results should be identical."
"MR35: Data truncation","SELECT ROUND(col1, 2) FROM tableA","Result set with col1 values rounded to 2 decimal places","Round col1 values to 2 decimal places in the table and then select","Results should be identical."
"MR36: Value replacement","UPDATE tableA SET col1 = REPLACE(col1, 'old', 'new')","TableA with 'old' values in col1 replaced by 'new'","Replace 'old' with 'new' in col1 values in the table and then select","Results should be identical."
"MR37: Time operations","SELECT TIME(dateCol) FROM tableA","Time values extracted from dateCol","Manually extract time from dateCol values and then select","Results should be identical."
"MR38: Set operations","SELECT col1 FROM tableA WHERE col1 NOT IN (value1, value2)","Rows where col1 is neither value1 nor value2","Manually filter rows that don't have col1 as value1 or value2 and then select","Results should be identical."
"MR39: String trimming","SELECT TRIM(col1) FROM tableA","Result set with spaces trimmed from col1 values","Manually trim spaces from col1 values in the table and then select","Results should be identical."
"MR40: Partitioning","SELECT col1, NTILE(4) OVER (ORDER BY col1) FROM tableA","Divides the result set into four roughly equal parts, with a possible ordering by col1","Manually divide the table into four parts based on col1 ordering and label each part","Resulting partitions should be comparable."
"MR41: Function equivalence","SELECT CEILING(col1) FROM tableA","Values rounded up to the nearest whole number","SELECT CEIL(col1) FROM tableA depending on DB","Result sets should be identical given that both functions perform the same action."
"MR42: Logical operators","SELECT * FROM tableA WHERE col1=value1 OR col1=value2","Rows where col1 equals value1 or value2","SELECT * FROM tableA WHERE col1 IN (value1, value2)","Result sets should be identical."
"MR43: Date functions","SELECT DATE_ADD(dateCol, INTERVAL 1 DAY) FROM tableA","Dates incremented by 1 day","Add 1 day manually to dateCol values and then select","Results should be identical."
"MR44: Concatenation","SELECT CONCAT(col1, col2) FROM tableA","Concatenated values of col1 and col2","Manually concatenate col1 and col2 values in the table and then select","Results should be identical."
"MR45: Temporal sequence","SELECT * FROM tableA WHERE dateCol > CURDATE() - INTERVAL 1 MONTH","Records from the past month","Change system date back by one month and execute the query","Results should show records from the past month."
"MR46: Bit functions","SELECT BIT_COUNT(col1) FROM tableA","Count of bits set to 1 in col1","Manually calculate the number of bits set to 1 in col1 values and then select","Results should be identical."
"MR47: Length functions","SELECT LENGTH(col1) FROM tableA","Length of the string in col1","Manually calculate the string length of col1 values and then select","Results should be identical."
"MR48: Conditional expressions","SELECT IF(col1 > value, 'Yes', 'No') FROM tableA","'Yes' or 'No' based on the condition","Manually evaluate whether col1 is greater than the value for each row and assign 'Yes' or 'No' accordingly","Results should be identical."
"MR49: Character set conversion","SELECT CONVERT(col1 USING utf8) FROM tableA","Values in utf8 character set","Manually convert the character set of col1 values to utf8 and then select","Results should be identical if the initial data is convertible without loss."
"MR50: Regular expressions","SELECT * FROM tableA WHERE col1 REGEXP '^a.*z$'","Rows where col1 matches the regex pattern","Manually filter rows based on the regex pattern and then select","Results should be identical."
